Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Holy War","Wall of Useless Conflict > Foster Falls > Tennessee",https://www.mountainproject.com/route/108668668/holy-war,3.7,-1,Sport,5.9,1,95,35.19166,-85.69914
Wristlets,"White Wall > Foster Falls > Tennessee",https://www.mountainproject.com/route/105978792/wristlets,3.7,-1,Sport,5.11c/d,1,60,35.17953,-85.67775
"Standing Room Only","Crime Buttress > Foster Falls > Tennessee",https://www.mountainproject.com/route/106617956/standing-room-only,3.6,-1,Sport,5.11a,1,80,35.17729,-85.68215
"Something's Always Wrong","The Right Bunker > Foster Falls > Tennessee",https://www.mountainproject.com/route/107301050/somethings-always-wrong,3.5,-1,Sport,5.10d,1,80,35.17907,-85.6792
Ruben,"Jimmywood > Foster Falls > Tennessee",https://www.mountainproject.com/route/109079486/ruben,3.4,-1,Sport,5.9,1,90,35.17715,-85.68247
Pillsbury,"The Dihedrals > Foster Falls > Tennessee",https://www.mountainproject.com/route/106006449/pillsbury,3.4,-1,Sport,5.11a,1,,35.17879,-85.68004
Saturated,"Jimmywood > Foster Falls > Tennessee",https://www.mountainproject.com/route/108440738/saturated,3.1,-1,Sport,5.8,1,90,35.17715,-85.68247
[Redacted],"The Right Bunker > Foster Falls > Tennessee",https://www.mountainproject.com/route/105893872/redacted,3.2,-1,Sport,5.12b,1,,35.17907,-85.6792
"Fish-eyed Fool","The Sanford Wall > Foster Falls > Tennessee",https://www.mountainproject.com/route/105932718/fish-eyed-fool,3.1,-1,Sport,5.10b,1,70,35.1768,-85.68394
"Rode Hard, Put Up Wet","Rocket Slab > Foster Falls > Tennessee",https://www.mountainproject.com/route/106099640/rode-hard-put-up-wet,3.0,-1,Sport,5.10d,1,60,35.17669,-85.6842
Narcissism,"The Dihedrals > Foster Falls > Tennessee",https://www.mountainproject.com/route/106099676/narcissism,2.9,-1,Sport,5.10b,1,60,35.17879,-85.68004
"Bear Mountain Picnic","Jimmywood > Foster Falls > Tennessee",https://www.mountainproject.com/route/105932699/bear-mountain-picnic,2.8,-1,Sport,5.8+,1,80,35.17715,-85.68247
"Jacob's Ladder","The Red Light District > Foster Falls > Tennessee",https://www.mountainproject.com/route/105892550/jacobs-ladder,2.8,-1,Sport,5.8,1,80,35.17702,-85.68673
"Twist and Shout","The Dihedrals > Foster Falls > Tennessee",https://www.mountainproject.com/route/106099661/twist-and-shout,2.8,-1,Sport,5.9+,1,70,35.17879,-85.68004
"Ankles Away","The Dihedrals > Foster Falls > Tennessee",https://www.mountainproject.com/route/105888384/ankles-away,2.8,-1,Sport,5.9,1,75,35.17879,-85.68004
"Moving Target","So What Area > Foster Falls > Tennessee",https://www.mountainproject.com/route/105892533/moving-target,2.6,-1,Sport,5.9,1,80,35.17917,-85.67854
"Diamond Cutter","Jimmywood > Foster Falls > Tennessee",https://www.mountainproject.com/route/105932712/diamond-cutter,2.6,-1,Sport,5.10c,1,60,35.17715,-85.68247
"Pocket Pool","The Red Light District > Foster Falls > Tennessee",https://www.mountainproject.com/route/106248042/pocket-pool,2.4,-1,Sport,5.9,1,70,35.17702,-85.68673
"Long Slab aka Milk Duds","The Dihedrals > Foster Falls > Tennessee",https://www.mountainproject.com/route/108441605/long-slab-aka-milk-duds,2.4,-1,Sport,5.8,1,65,35.17879,-85.68004
"Miss Scarlet","Jimmywood > Foster Falls > Tennessee",https://www.mountainproject.com/route/105932689/miss-scarlet,2.4,-1,Sport,5.9+,1,60,35.17715,-85.68247
Satisfaction,"White Wall > Foster Falls > Tennessee",https://www.mountainproject.com/route/105978789/satisfaction,3.7,-1,Sport,5.12a,1,60,35.17953,-85.67775
Rollo,"The Sanford Wall > Foster Falls > Tennessee",https://www.mountainproject.com/route/106131678/rollo,2.8,-1,Sport,5.11a,1,45,35.1768,-85.68394
"Miss Prissy","Jimmywood > Foster Falls > Tennessee",https://www.mountainproject.com/route/106098664/miss-prissy,2.3,-1,Sport,5.9,1,60,35.17715,-85.68247
Mammy,"Jimmywood > Foster Falls > Tennessee",https://www.mountainproject.com/route/105892528/mammy,2.2,-1,Sport,5.9,1,60,35.17715,-85.68247
"Premarital Drilling","The Left Bunker > Foster Falls > Tennessee",https://www.mountainproject.com/route/106508340/premarital-drilling,2.1,-1,Sport,5.10b,1,,35.1561,-85.67333
"Gravity Boots","Rocket Slab > Foster Falls > Tennessee",https://www.mountainproject.com/route/105892543/gravity-boots,2.1,-1,Sport,5.7,1,50,35.17669,-85.6842
Afterburner,"Rocket Slab > Foster Falls > Tennessee",https://www.mountainproject.com/route/105892538/afterburner,2.1,-1,Sport,5.5,1,50,35.17669,-85.6842
Thieves,"Crime Buttress > Foster Falls > Tennessee",https://www.mountainproject.com/route/107585169/thieves,3.6,-1,Sport,5.12a,1,70,35.17729,-85.68215
Junkyard,"The Sanford Wall > Foster Falls > Tennessee",https://www.mountainproject.com/route/106954631/junkyard,2.9,-1,Sport,5.11a,1,50,35.1768,-85.68394
"The Aquittal","White Wall > Foster Falls > Tennessee",https://www.mountainproject.com/route/105978799/the-aquittal,3.4,-1,Sport,5.11b,1,60,35.17953,-85.67775
Eclipse,"The Left Bunker > Foster Falls > Tennessee",https://www.mountainproject.com/route/105935705/eclipse,3.7,-1,Sport,5.12c/d,1,,35.1561,-85.67333
Therapist,"Rehab Slab > Foster Falls > Tennessee",https://www.mountainproject.com/route/105975893/therapist,2.6,-1,Sport,5.9+,1,60,35.1764,-85.68538
Supersaturated,"Jimmywood > Foster Falls > Tennessee",https://www.mountainproject.com/route/108805957/supersaturated,3.1,-1,Sport,5.10d,1,80,35.17715,-85.68247
Rolffed,"Rehab Slab > Foster Falls > Tennessee",https://www.mountainproject.com/route/105900196/rolffed,2.6,-1,Sport,5.9+,1,60,35.1764,-85.68538
"Timeless Christian Values","The Red Light District > Foster Falls > Tennessee",https://www.mountainproject.com/route/106248023/timeless-christian-values,2.5,-1,Sport,5.9+,1,50,35.17702,-85.68673
"Story of My Life","Jimmywood > Foster Falls > Tennessee",https://www.mountainproject.com/route/111431617/story-of-my-life,3.6,-1,Sport,5.11b,1,80,35.17715,-85.68247
Mammplitude,"The Red Light District > Foster Falls > Tennessee",https://www.mountainproject.com/route/106387236/mammplitude,2.4,-1,Sport,5.10a/b,1,50,35.17702,-85.68673
"Bottled Up Warrior","The Right Bunker > Foster Falls > Tennessee",https://www.mountainproject.com/route/107132491/bottled-up-warrior,3.5,-1,Sport,5.12b,1,65,35.17907,-85.6792
Dihedral,"The Dihedrals > Foster Falls > Tennessee",https://www.mountainproject.com/route/106107619/dihedral,2.7,-1,Trad,5.9,1,75,35.17879,-85.68004
"Finger Puppets","Jimmywood > Foster Falls > Tennessee",https://www.mountainproject.com/route/106926805/finger-puppets,3.1,-1,Sport,5.11a,1,80,35.17715,-85.68247
"Sweet Surrender","Music City/The 5.9 Area > Foster Falls > Tennessee",https://www.mountainproject.com/route/112293152/sweet-surrender,3.5,-1,Sport,5.8,1,,35.18687,-85.70102
Rehab,"Rehab Slab > Foster Falls > Tennessee",https://www.mountainproject.com/route/105900190/rehab,2.7,-1,Sport,5.10a,1,60,35.1764,-85.68538
"Cold Shoulder","The Red Light District > Foster Falls > Tennessee",https://www.mountainproject.com/route/108881146/cold-shoulder,3.2,-1,Sport,5.10c,1,55,35.17702,-85.68673
"The Hoosier","So What Area > Foster Falls > Tennessee",https://www.mountainproject.com/route/106775569/the-hoosier,3.2,-1,Sport,5.11c,1,45,35.17917,-85.67854
"Vapor Lock","The Red Light District > Foster Falls > Tennessee",https://www.mountainproject.com/route/106654215/vapor-lock,3.5,-1,Sport,5.12a,1,70,35.17702,-85.68673
Handcuffed,"White Wall > Foster Falls > Tennessee",https://www.mountainproject.com/route/105978795/handcuffed,3.6,-1,Sport,5.11d,1,60,35.17953,-85.67775
Greed,"Crime Buttress > Foster Falls > Tennessee",https://www.mountainproject.com/route/105946755/greed,3.7,-1,Sport,5.11d,1,85,35.17729,-85.68215
Crawdaddy,"Main Wall > Foster Falls > Tennessee",https://www.mountainproject.com/route/106107592/crawdaddy,2.2,-1,Sport,5.10a,1,40,35.18235,-85.67386
"Tea and Strumpets","Main Wall > Foster Falls > Tennessee",https://www.mountainproject.com/route/106107605/tea-and-strumpets,2.2,-1,Sport,5.10a,1,40,35.18235,-85.67386
"The Big Empty","The Left Bunker > Foster Falls > Tennessee",https://www.mountainproject.com/route/107131100/the-big-empty,3.7,-1,Sport,5.13b,1,45,35.1561,-85.67333
"It's All Good","Gutbuster Area > Foster Falls > Tennessee",https://www.mountainproject.com/route/105888407/its-all-good,2.6,-1,Sport,5.9+,1,50,35.17694,-85.68366
[Redacted],"The Left Bunker > Foster Falls > Tennessee",https://www.mountainproject.com/route/105935701/redacted,3.4,-1,Sport,5.12d,1,,35.1561,-85.67333
Moonscape,"Gutbuster Area > Foster Falls > Tennessee",https://www.mountainproject.com/route/106099692/moonscape,2.5,-1,Sport,5.10b,1,40,35.17694,-85.68366
Abacus,"The Right Bunker > Foster Falls > Tennessee",https://www.mountainproject.com/route/112063866/abacus,3.9,-1,Sport,5.13a,1,70,35.17907,-85.6792
"Glass Chamber","The Right Bunker > Foster Falls > Tennessee",https://www.mountainproject.com/route/108501949/glass-chamber,3.5,-1,Sport,5.12d,1,70,35.17907,-85.6792
"Grey Matter","The Sanford Wall > Foster Falls > Tennessee",https://www.mountainproject.com/route/105932750/grey-matter,1.6,-1,Sport,"5.9 PG13",1,70,35.1768,-85.68394
"So What","So What Area > Foster Falls > Tennessee",https://www.mountainproject.com/route/106202075/so-what,2.7,-1,Sport,5.11b,1,50,35.17917,-85.67854
"Stun Gun","White Wall > Foster Falls > Tennessee",https://www.mountainproject.com/route/106309114/stun-gun,3.0,-1,Sport,5.12a,1,80,35.17953,-85.67775
"First Offense","White Wall > Foster Falls > Tennessee",https://www.mountainproject.com/route/113878014/first-offense,4.0,-1,Sport,5.12a,1,,35.17953,-85.67775
"Hurts So Good","Paradox Wall > Foster Falls > Tennessee",https://www.mountainproject.com/route/108468178/hurts-so-good,2.9,-1,Sport,5.10a,1,90,35.18688,-85.70023
"Bad Girls are Good","Paradox Wall > Foster Falls > Tennessee",https://www.mountainproject.com/route/108479564/bad-girls-are-good,3.5,-1,Sport,5.10b,1,90,35.18688,-85.70023
Framed,"Crime Buttress > Foster Falls > Tennessee",https://www.mountainproject.com/route/107360643/framed,3.1,-1,Sport,5.12a,1,,35.17729,-85.68215
"Kids With Guns","The Dihedrals > Foster Falls > Tennessee",https://www.mountainproject.com/route/108824792/kids-with-guns,3.8,-1,Sport,5.12d,1,65,35.17879,-85.68004
"Witchy Woman","Rocket Slab > Foster Falls > Tennessee",https://www.mountainproject.com/route/106154747/witchy-woman,2.2,-1,Sport,5.10c,1,40,35.17669,-85.6842
"Sibling Rivalry","Wall of Useless Conflict > Foster Falls > Tennessee",https://www.mountainproject.com/route/113602729/sibling-rivalry,2.5,-1,Sport,5.7+,1,50,35.19166,-85.69914
Slabolisius,"The Left Bunker > Foster Falls > Tennessee",https://www.mountainproject.com/route/111855666/slabolisius,2.8,-1,Sport,5.11c/d,1,,35.1561,-85.67333
"The Young and the Restless","The Red Light District > Foster Falls > Tennessee",https://www.mountainproject.com/route/106954540/the-young-and-the-restless,2.1,-1,Sport,5.9,1,50,35.17702,-85.68673
"Crash Into Me","Music City/The 5.9 Area > Foster Falls > Tennessee",https://www.mountainproject.com/route/108469447/crash-into-me,3.6,-1,Sport,5.11b,1,70,35.18687,-85.70102
"You Big Dummy","The Sanford Wall > Foster Falls > Tennessee",https://www.mountainproject.com/route/110076088/you-big-dummy,3.2,-1,Sport,5.11d,1,50,35.1768,-85.68394
"Mrs. Treated","The Red Light District > Foster Falls > Tennessee",https://www.mountainproject.com/route/106321783/mrs-treated,2.8,-1,Sport,5.11a,1,65,35.17702,-85.68673
"Squeeze the Trigga","The Left Bunker > Foster Falls > Tennessee",https://www.mountainproject.com/route/113431155/squeeze-the-trigga,3.4,-1,Sport,5.13a,1,45,35.1561,-85.67333
Atrophy,"The Dihedrals > Foster Falls > Tennessee",https://www.mountainproject.com/route/107347531/atrophy,2.9,-1,Sport,5.11b/c,1,,35.17879,-85.68004
"38 Special","Jimmywood > Foster Falls > Tennessee",https://www.mountainproject.com/route/106253491/38-special,1.9,-1,Sport,5.10a,1,50,35.17715,-85.68247
"Wet Willie","Jimmywood > Foster Falls > Tennessee",https://www.mountainproject.com/route/106735995/wet-willie,2.2,-1,Sport,5.9,1,60,35.17715,-85.68247
"Cracking Corona","Gutbuster Area > Foster Falls > Tennessee",https://www.mountainproject.com/route/118817124/cracking-corona,3.5,-1,Trad,5.8,1,120,35.17694,-85.68366
"Foster Child","The Dihedrals > Foster Falls > Tennessee",https://www.mountainproject.com/route/106518426/foster-child,2.3,-1,Sport,5.10d,1,50,35.17879,-85.68004
"Dutch Maiden","The Red Light District > Foster Falls > Tennessee",https://www.mountainproject.com/route/106248014/dutch-maiden,2.0,-1,Sport,5.10a,1,40,35.17702,-85.68673
"He Said, She Said","Wall of Useless Conflict > Foster Falls > Tennessee",https://www.mountainproject.com/route/111855953/he-said-she-said,2.5,-1,Sport,5.9,2,95,35.19166,-85.69914
"Sport Puppy","Gutbuster Area > Foster Falls > Tennessee",https://www.mountainproject.com/route/111751471/sport-puppy,2.2,-1,Sport,5.8,1,60,35.17694,-85.68366
"The Big One","The Sanford Wall > Foster Falls > Tennessee",https://www.mountainproject.com/route/111776534/the-big-one,3.1,-1,Sport,5.11c,1,45,35.1768,-85.68394
Skipper,"Main Wall > Foster Falls > Tennessee",https://www.mountainproject.com/route/106816051/skipper,2.0,-1,Sport,5.9,1,40,35.18235,-85.67386
"Kill or be Killed","The Right Bunker > Foster Falls > Tennessee",https://www.mountainproject.com/route/107579313/kill-or-be-killed,3.3,-1,Sport,5.13b,1,70,35.17907,-85.6792
"Proposition   One","The Red Light District > Foster Falls > Tennessee",https://www.mountainproject.com/route/108441619/proposition-one,3.3,-1,Sport,5.12c,1,60,35.17702,-85.68673
"Mitch's Bitch","Wall of Useless Conflict > Foster Falls > Tennessee",https://www.mountainproject.com/route/108668686/mitchs-bitch,2.8,-1,Sport,5.10c/d,1,80,35.19166,-85.69914
Dummkopf,"The Right Bunker > Foster Falls > Tennessee",https://www.mountainproject.com/route/107926638/dummkopf,2.6,-1,Sport,5.11+,1,70,35.17907,-85.6792
"Everybody Knows Fire","Dog Boy Village > Foster Falls > Tennessee",https://www.mountainproject.com/route/106103534/everybody-knows-fire,2.6,-1,Sport,5.9+,1,70,35.1125,-85.64214
"Sucker Punch","Wall of Useless Conflict > Foster Falls > Tennessee",https://www.mountainproject.com/route/117061435/sucker-punch,3.0,-1,Sport,5.11a,1,70,35.19166,-85.69914
"Unknown In Red Light District","The Red Light District > Foster Falls > Tennessee",https://www.mountainproject.com/route/107359326/unknown-in-red-light-district,2.9,-1,Sport,5.10a,1,,35.17702,-85.68673
"The 3 G's","Paradox Wall > Foster Falls > Tennessee",https://www.mountainproject.com/route/108479542/the-3-gs,3.0,-1,Sport,5.10c,1,90,35.18688,-85.70023
SQF,"Wall of Useless Conflict > Foster Falls > Tennessee",https://www.mountainproject.com/route/117061509/sqf,3.0,-1,Sport,5.11b/c,1,95,35.19166,-85.69914
"Atrophy Direct Start","The Dihedrals > Foster Falls > Tennessee",https://www.mountainproject.com/route/119229513/atrophy-direct-start,3.0,-1,Sport,5.12a,1,,35.17879,-85.68004
"Hidden in Plain Site","Paradox Wall > Foster Falls > Tennessee",https://www.mountainproject.com/route/117927990/hidden-in-plain-site,3.0,-1,Sport,5.10a,1,90,35.18688,-85.70023
[Redacted],"Gutbuster Area > Foster Falls > Tennessee",https://www.mountainproject.com/route/112385105/redacted,2.1,-1,Sport,5.9,1,,35.17694,-85.68366
"Snake Charmer","Jimmywood > Foster Falls > Tennessee",https://www.mountainproject.com/route/106232985/snake-charmer,2.4,-1,Sport,5.11a,1,40,35.17715,-85.68247
"That Orange Hat","Jimmywood > Foster Falls > Tennessee",https://www.mountainproject.com/route/106232966/that-orange-hat,2.2,-1,Sport,5.10b,1,30,35.17715,-85.68247
"Cock the Hammer","The Left Bunker > Foster Falls > Tennessee",https://www.mountainproject.com/route/113431230/cock-the-hammer,2.7,-1,Sport,5.12d,1,40,35.1561,-85.67333
"Elephant Ears","Music City/The 5.9 Area > Foster Falls > Tennessee",https://www.mountainproject.com/route/112293147/elephant-ears,2.8,-1,Sport,5.10b,1,,35.18687,-85.70102
"Lay Lady Lay","Music City/The 5.9 Area > Foster Falls > Tennessee",https://www.mountainproject.com/route/108469452/lay-lady-lay,2.8,-1,Sport,5.10a,1,70,35.18687,-85.70102
"Girly Man","Paradox Wall > Foster Falls > Tennessee",https://www.mountainproject.com/route/108469393/girly-man,2.6,-1,Sport,5.11a/b,1,90,35.18688,-85.70023
"On the Side","The Red Light District > Foster Falls > Tennessee",https://www.mountainproject.com/route/106099570/on-the-side,2.1,-1,Trad,5.8,1,50,35.17702,-85.68673
"Tit for Tat","Wall of Useless Conflict > Foster Falls > Tennessee",https://www.mountainproject.com/route/108480351/tit-for-tat,2.6,-1,Sport,5.10d,1,80,35.19166,-85.69914
Liars,"Crime Buttress > Foster Falls > Tennessee",https://www.mountainproject.com/route/110551917/liars,2.7,-1,Sport,5.12c,1,70,35.17729,-85.68215
Reptile,"Snatch Wall > Foster Falls > Tennessee",https://www.mountainproject.com/route/106654234/reptile,2.7,-1,Sport,5.12a,1,80,35.18235,-85.67386
"Golden Girl","Dog Boy Village > Foster Falls > Tennessee",https://www.mountainproject.com/route/106103545/golden-girl,2.2,-1,Sport,5.10c,1,70,35.1125,-85.64214
"Size Matters","The Red Light District > Foster Falls > Tennessee",https://www.mountainproject.com/route/108469460/size-matters,2.3,-1,Sport,5.10b,1,70,35.17702,-85.68673
"Pond Scum","Main Wall > Foster Falls > Tennessee",https://www.mountainproject.com/route/106816035/pond-scum,1.7,-1,Sport,5.10,1,40,35.18235,-85.67386
"Hola bitch","Jimmywood > Foster Falls > Tennessee",https://www.mountainproject.com/route/118628773/hola-bitch,2.5,-1,Sport,5.10d,1,,35.17715,-85.68247
"Shock and Awe","Wall of Useless Conflict > Foster Falls > Tennessee",https://www.mountainproject.com/route/111888106/shock-and-awe,2.5,-1,Sport,5.11b/c,1,90,35.19166,-85.69914
"Crimp Knob","The Dihedrals > Foster Falls > Tennessee",https://www.mountainproject.com/route/116500530/crimp-knob,2.3,-1,Sport,5.13a,1,65,35.17879,-85.68004
"Dirty Corner","The Left Bunker > Foster Falls > Tennessee",https://www.mountainproject.com/route/112929993/dirty-corner,2.3,-1,Trad,5.8,1,40,35.1561,-85.67333
"La Pistola","Jimmywood > Foster Falls > Tennessee",https://www.mountainproject.com/route/106812927/la-pistola,1.8,-1,Sport,5.12a,1,30,35.17715,-85.68247
"Iron Buns","Crime Buttress > Foster Falls > Tennessee",https://www.mountainproject.com/route/113089564/iron-buns,2.3,-1,Sport,5.11d,1,,35.17729,-85.68215
"Humane Bomb","Wall of Useless Conflict > Foster Falls > Tennessee",https://www.mountainproject.com/route/108480324/humane-bomb,2.3,-1,Sport,5.11a,1,80,35.19166,-85.69914
"Arete Butler","Jimmywood > Foster Falls > Tennessee",https://www.mountainproject.com/route/105932707/arete-butler,1.6,-1,Sport,5.9,1,70,35.17715,-85.68247
Wedgie,"Jimmywood > Foster Falls > Tennessee",https://www.mountainproject.com/route/106737345/wedgie,1.9,-1,Sport,5.10b/c,1,50,35.17715,-85.68247
"One Hand in my Pocket and the Other on a Stout","The Red Light District > Foster Falls > Tennessee",https://www.mountainproject.com/route/108469466/one-hand-in-my-pocket-and-the-other-on-a-stout,2.2,-1,Sport,5.11b,1,70,35.17702,-85.68673
"Bottom Feeder","White Wall > Foster Falls > Tennessee",https://www.mountainproject.com/route/105893863/bottom-feeder,1.6,-1,Sport,5.12a,1,,35.17953,-85.67775
"Vividly Grey","Paradox Wall > Foster Falls > Tennessee",https://www.mountainproject.com/route/108668632/vividly-grey,2.0,-1,Sport,5.10a,1,90,35.18688,-85.70023
"You can't email your way into heaven","Jimmywood > Foster Falls > Tennessee",https://www.mountainproject.com/route/113602305/you-cant-email-your-way-into-heaven,2.0,-1,Trad,5.8,1,60,35.17715,-85.68247
Unknown,"Gutbuster Area > Foster Falls > Tennessee",https://www.mountainproject.com/route/109223159/unknown,1.8,-1,Trad,5.6,1,60,35.17694,-85.68366
"Panty Raid","Wall of Useless Conflict > Foster Falls > Tennessee",https://www.mountainproject.com/route/114787182/panty-raid,1.8,-1,Sport,5.9,1,80,35.19166,-85.69914
"Flim Flam","Jimmywood > Foster Falls > Tennessee",https://www.mountainproject.com/route/106232905/flim-flam,1.7,-1,Trad,5.8,1,40,35.17715,-85.68247
"Puss 'n Boots","Wall of Useless Conflict > Foster Falls > Tennessee",https://www.mountainproject.com/route/118028654/puss-n-boots,2.0,-1,Sport,5.11b,1,90,35.19166,-85.69914
"Left Hook","Wall of Useless Conflict > Foster Falls > Tennessee",https://www.mountainproject.com/route/118034541/left-hook,2.0,-1,Sport,5.11a,1,60,35.19166,-85.69914
"Trundle Your Grundle (Fight Club)","The Red Light District > Foster Falls > Tennessee",https://www.mountainproject.com/route/116673887/trundle-your-grundle-fight-club,2.0,-1,"Trad, TR","5.9- PG13",1,100,35.17702,-85.68673
"Tom and Jerry","White Wall > Foster Falls > Tennessee",https://www.mountainproject.com/route/113789926/tom-and-jerry,2.0,-1,Sport,5.12d,1,70,35.17953,-85.67775
"The Big, Empty Eclipse of the Bum Beast","The Left Bunker > Foster Falls > Tennessee",https://www.mountainproject.com/route/113487235/the-big-empty-eclipse-of-the-bum-beast,2.0,-1,Sport,5.13c/d,1,55,35.1561,-85.67333
"Autocratic for the People","The Red Light District > Foster Falls > Tennessee",https://www.mountainproject.com/route/106654222/autocratic-for-the-people,2.0,-1,Sport,5.13b,1,70,35.17702,-85.68673
