id,Avg Stars,Your Stars,Route Type,Pitches,Length,Area Latitude,Area Longitude,name,rating,starVotes,location,url,imgSqSmall,imgSmall,imgSmallMed,imgMedium
105888384,2.8,-1,Sport,1,75.0,35.17879,-85.68004,Ankles Away,5.9,254,"['Tennessee', 'Foster Falls', 'The Dihedrals']",https://www.mountainproject.com/route/105888384/ankles-away,https://cdn2.apstatic.com/photos/climb/108287843_sqsmall_1494274115.jpg,https://cdn2.apstatic.com/photos/climb/108287843_small_1494274115.jpg,https://cdn2.apstatic.com/photos/climb/108287843_smallMed_1494274115.jpg,https://cdn2.apstatic.com/photos/climb/108287843_medium_1494274115.jpg
105888407,2.6,-1,Sport,1,50.0,35.17694,-85.68366,It's All Good,5.9+,38,"['Tennessee', 'Foster Falls', 'Gutbuster Area']",https://www.mountainproject.com/route/105888407/its-all-good,https://cdn2.apstatic.com/photos/climb/105976909_sqsmall_1558385978.jpg,https://cdn2.apstatic.com/photos/climb/105976909_small_1558385978.jpg,https://cdn2.apstatic.com/photos/climb/105976909_smallMed_1558385978.jpg,https://cdn2.apstatic.com/photos/climb/105976909_medium_1558385978.jpg
105892528,2.2,-1,Sport,1,60.0,35.17715,-85.68247,Mammy,5.9,146,"['Tennessee', 'Foster Falls', 'Jimmywood']",https://www.mountainproject.com/route/105892528/mammy,https://cdn2.apstatic.com/photos/climb/106031562_sqsmall_1558462806.jpg,https://cdn2.apstatic.com/photos/climb/106031562_small_1558462806.jpg,https://cdn2.apstatic.com/photos/climb/106031562_smallMed_1558462806.jpg,https://cdn2.apstatic.com/photos/climb/106031562_medium_1558462806.jpg
105892533,2.6,-1,Sport,1,80.0,35.17917,-85.67854,Moving Target,5.9,88,"['Tennessee', 'Foster Falls', 'So What Area']",https://www.mountainproject.com/route/105892533/moving-target,https://cdn2.apstatic.com/photos/climb/118271689_sqsmall_1579686059.jpg,https://cdn2.apstatic.com/photos/climb/118271689_small_1579686059.jpg,https://cdn2.apstatic.com/photos/climb/118271689_smallMed_1579686059.jpg,https://cdn2.apstatic.com/photos/climb/118271689_medium_1579686059.jpg
105892538,2.1,-1,Sport,1,50.0,35.17669,-85.6842,Afterburner,5.5,137,"['Tennessee', 'Foster Falls', 'Rocket Slab']",https://www.mountainproject.com/route/105892538/afterburner,https://cdn2.apstatic.com/photos/climb/106140493_sqsmall_1558653765.jpg,https://cdn2.apstatic.com/photos/climb/106140493_small_1558653765.jpg,https://cdn2.apstatic.com/photos/climb/106140493_smallMed_1558653765.jpg,https://cdn2.apstatic.com/photos/climb/106140493_medium_1558653765.jpg
105892543,2.1,-1,Sport,1,50.0,35.17669,-85.6842,Gravity Boots,5.7,158,"['Tennessee', 'Foster Falls', 'Rocket Slab']",https://www.mountainproject.com/route/105892543/gravity-boots,https://cdn2.apstatic.com/photos/climb/106251028_sqsmall_1494091564.jpg,https://cdn2.apstatic.com/photos/climb/106251028_small_1494091564.jpg,https://cdn2.apstatic.com/photos/climb/106251028_smallMed_1494091564.jpg,https://cdn2.apstatic.com/photos/climb/106251028_medium_1494091564.jpg
105892550,2.8,-1,Sport,1,80.0,35.17702,-85.68673000000003,Jacob's Ladder,5.8,179,"['Tennessee', 'Foster Falls', 'The Red Light District']",https://www.mountainproject.com/route/105892550/jacobs-ladder,https://cdn2.apstatic.com/photos/climb/107354334_sqsmall_1494183596.jpg,https://cdn2.apstatic.com/photos/climb/107354334_small_1494183596.jpg,https://cdn2.apstatic.com/photos/climb/107354334_smallMed_1494183596.jpg,https://cdn2.apstatic.com/photos/climb/107354334_medium_1494183596.jpg
105893863,1.6,-1,Sport,1,,35.17953,-85.67775,Bottom Feeder,5.12a,14,"['Tennessee', 'Foster Falls', 'White Wall']",https://www.mountainproject.com/route/105893863/bottom-feeder,https://cdn2.apstatic.com/photos/climb/118271702_sqsmall_1579689999.jpg,https://cdn2.apstatic.com/photos/climb/118271702_small_1579689999.jpg,https://cdn2.apstatic.com/photos/climb/118271702_smallMed_1579689999.jpg,https://cdn2.apstatic.com/photos/climb/118271702_medium_1579689999.jpg
105893872,3.2,-1,Sport,1,,35.17907,-85.6792,[Redacted],5.12b,84,"['Tennessee', 'Foster Falls', 'The Right Bunker']",https://www.mountainproject.com/route/105893872/redacted,https://cdn2.apstatic.com/photos/climb/110231251_sqsmall_1494368773.jpg,https://cdn2.apstatic.com/photos/climb/110231251_small_1494368773.jpg,https://cdn2.apstatic.com/photos/climb/110231251_smallMed_1494368773.jpg,https://cdn2.apstatic.com/photos/climb/110231251_medium_1494368773.jpg
105900190,2.7,-1,Sport,1,60.0,35.1764,-85.68538000000002,Rehab,5.10a,45,"['Tennessee', 'Foster Falls', 'Rehab Slab']",https://www.mountainproject.com/route/105900190/rehab,https://cdn2.apstatic.com/photos/climb/114041318_sqsmall_1517090665.jpg,https://cdn2.apstatic.com/photos/climb/114041318_small_1517090665.jpg,https://cdn2.apstatic.com/photos/climb/114041318_smallMed_1517090665.jpg,https://cdn2.apstatic.com/photos/climb/114041318_medium_1517090665.jpg
105900196,2.6,-1,Sport,1,60.0,35.1764,-85.68538000000002,Rolffed,5.9+,60,"['Tennessee', 'Foster Falls', 'Rehab Slab']",https://www.mountainproject.com/route/105900196/rolffed,https://cdn2.apstatic.com/photos/climb/107583497_sqsmall_1494198510.jpg,https://cdn2.apstatic.com/photos/climb/107583497_small_1494198510.jpg,https://cdn2.apstatic.com/photos/climb/107583497_smallMed_1494198510.jpg,https://cdn2.apstatic.com/photos/climb/107583497_medium_1494198510.jpg
105905196,3.6,-1,"Trad, TR",1,120.0,34.17948,-85.81775,Comfortably Numb,5.9,87,"['Alabama', 'Sand Rock', 'The Pinnacle']",https://www.mountainproject.com/route/105905196/comfortably-numb,https://cdn2.apstatic.com/photos/climb/110249286_sqsmall_1494369116.jpg,https://cdn2.apstatic.com/photos/climb/110249286_small_1494369116.jpg,https://cdn2.apstatic.com/photos/climb/110249286_smallMed_1494369116.jpg,https://cdn2.apstatic.com/photos/climb/110249286_medium_1494369116.jpg
105905203,2.7,-1,Trad,1,100.0,34.17948,-85.81775,Pin Chimney,5.8+,38,"['Alabama', 'Sand Rock', 'The Pinnacle']",https://www.mountainproject.com/route/105905203/pin-chimney,https://cdn2.apstatic.com/photos/climb/106821970_sqsmall_1494143350.jpg,https://cdn2.apstatic.com/photos/climb/106821970_small_1494143350.jpg,https://cdn2.apstatic.com/photos/climb/106821970_smallMed_1494143350.jpg,https://cdn2.apstatic.com/photos/climb/106821970_medium_1494143350.jpg
105905391,2.3,-1,Trad,1,80.0,34.17948,-85.81775,Standard Route,5.6,73,"['Alabama', 'Sand Rock', 'The Pinnacle']",https://www.mountainproject.com/route/105905391/standard-route,https://cdn2.apstatic.com/photos/climb/106198623_sqsmall_1494087405.jpg,https://cdn2.apstatic.com/photos/climb/106198623_small_1494087405.jpg,https://cdn2.apstatic.com/photos/climb/106198623_smallMed_1494087405.jpg,https://cdn2.apstatic.com/photos/climb/106198623_medium_1494087405.jpg
105905421,3.6,-1,Sport,1,90.0,34.180409999999995,-85.81555,Misty,5.10b/c,222,"['Alabama', 'Sand Rock', 'Sun Wall']",https://www.mountainproject.com/route/105905421/misty,https://cdn2.apstatic.com/photos/climb/106709594_sqsmall_1494134162.jpg,https://cdn2.apstatic.com/photos/climb/106709594_small_1494134162.jpg,https://cdn2.apstatic.com/photos/climb/106709594_smallMed_1494134162.jpg,https://cdn2.apstatic.com/photos/climb/106709594_medium_1494134162.jpg
105915399,2.5,-1,Sport,1,60.0,34.17961,-85.8179,My Dog Has Fleas,5.9-,218,"['Alabama', 'Sand Rock', 'Holiday Block']",https://www.mountainproject.com/route/105915399/my-dog-has-fleas,https://cdn2.apstatic.com/photos/climb/105915409_sqsmall_1557941608.jpg,https://cdn2.apstatic.com/photos/climb/105915409_small_1557941608.jpg,https://cdn2.apstatic.com/photos/climb/105915409_smallMed_1557941608.jpg,https://cdn2.apstatic.com/photos/climb/105915409_medium_1557941608.jpg
105915410,2.8,-1,Sport,1,60.0,34.17961,-85.8179,That Eight (aka Kennel Club),5.8,210,"['Alabama', 'Sand Rock', 'Holiday Block']",https://www.mountainproject.com/route/105915410/that-eight-aka-kennel-club,https://cdn2.apstatic.com/photos/climb/114023348_sqsmall_1516315801.jpg,https://cdn2.apstatic.com/photos/climb/114023348_small_1516315801.jpg,https://cdn2.apstatic.com/photos/climb/114023348_smallMed_1516315801.jpg,https://cdn2.apstatic.com/photos/climb/114023348_medium_1516315801.jpg
105926850,3.1,-1,Sport,1,80.0,34.17961,-85.8179,Oyster,5.10a,191,"['Alabama', 'Sand Rock', 'Holiday Block']",https://www.mountainproject.com/route/105926850/oyster,https://cdn2.apstatic.com/photos/climb/109357365_sqsmall_1494347915.jpg,https://cdn2.apstatic.com/photos/climb/109357365_small_1494347915.jpg,https://cdn2.apstatic.com/photos/climb/109357365_smallMed_1494347915.jpg,https://cdn2.apstatic.com/photos/climb/109357365_medium_1494347915.jpg
105927902,2.5,-1,Sport,1,60.0,34.180409999999995,-85.81555,Sneakers,5.10a,47,"['Alabama', 'Sand Rock', 'Sun Wall']",https://www.mountainproject.com/route/105927902/sneakers,https://cdn2.apstatic.com/photos/climb/107037795_sqsmall_1494161051.jpg,https://cdn2.apstatic.com/photos/climb/107037795_small_1494161051.jpg,https://cdn2.apstatic.com/photos/climb/107037795_smallMed_1494161051.jpg,https://cdn2.apstatic.com/photos/climb/107037795_medium_1494161051.jpg
105927906,2.1,-1,Trad,1,70.0,34.180409999999995,-85.81555,Burly Girls,5.7,12,"['Alabama', 'Sand Rock', 'Sun Wall']",https://www.mountainproject.com/route/105927906/burly-girls,https://cdn2.apstatic.com/photos/climb/116649653_sqsmall_1554138737.jpg,https://cdn2.apstatic.com/photos/climb/116649653_small_1554138737.jpg,https://cdn2.apstatic.com/photos/climb/116649653_smallMed_1554138737.jpg,https://cdn2.apstatic.com/photos/climb/116649653_medium_1554138737.jpg
105927915,2.9,-1,Trad,1,70.0,34.1804,-85.81700000000002,Pebble Power,5.8+,11,"['Alabama', 'Sand Rock', 'Turtle Rock']",https://www.mountainproject.com/route/105927915/pebble-power,https://cdn2.apstatic.com/photos/climb/114063217_sqsmall_1517712607.jpg,https://cdn2.apstatic.com/photos/climb/114063217_small_1517712607.jpg,https://cdn2.apstatic.com/photos/climb/114063217_smallMed_1517712607.jpg,https://cdn2.apstatic.com/photos/climb/114063217_medium_1517712607.jpg
105927932,2.4,-1,Trad,1,80.0,34.1804,-85.81700000000002,Faith,5.8,16,"['Alabama', 'Sand Rock', 'Turtle Rock']",https://www.mountainproject.com/route/105927932/faith,https://cdn2.apstatic.com/photos/climb/107933301_sqsmall_1494251634.jpg,https://cdn2.apstatic.com/photos/climb/107933301_small_1494251634.jpg,https://cdn2.apstatic.com/photos/climb/107933301_smallMed_1494251634.jpg,https://cdn2.apstatic.com/photos/climb/107933301_medium_1494251634.jpg
105927952,2.8,-1,Trad,1,80.0,34.180409999999995,-85.81555,Knob Wall,5.6,118,"['Alabama', 'Sand Rock', 'Sun Wall']",https://www.mountainproject.com/route/105927952/knob-wall,https://cdn2.apstatic.com/photos/climb/106321436_sqsmall_1494097457.jpg,https://cdn2.apstatic.com/photos/climb/106321436_small_1494097457.jpg,https://cdn2.apstatic.com/photos/climb/106321436_smallMed_1494097457.jpg,https://cdn2.apstatic.com/photos/climb/106321436_medium_1494097457.jpg
105930667,2.0,-1,Sport,1,,34.180409999999995,-85.81555,Liquid Spirit,5.12b,2,"['Alabama', 'Sand Rock', 'Sun Wall']",https://www.mountainproject.com/route/105930667/liquid-spirit,https://cdn2.apstatic.com/photos/climb/105930670_sqsmall_1557950871.jpg,https://cdn2.apstatic.com/photos/climb/105930670_small_1557950871.jpg,https://cdn2.apstatic.com/photos/climb/105930670_smallMed_1557950871.jpg,https://cdn2.apstatic.com/photos/climb/105930670_medium_1557950871.jpg
105930746,3.0,-1,Sport,1,70.0,34.17961,-85.8179,Pigs in Zen (Tuesday's Gone),5.10d,86,"['Alabama', 'Sand Rock', 'Holiday Block']",https://www.mountainproject.com/route/105930746/pigs-in-zen-tuesdays-gone,https://cdn2.apstatic.com/photos/climb/116685005_sqsmall_1554220328.jpg,https://cdn2.apstatic.com/photos/climb/116685005_small_1554220328.jpg,https://cdn2.apstatic.com/photos/climb/116685005_smallMed_1554220328.jpg,https://cdn2.apstatic.com/photos/climb/116685005_medium_1554220328.jpg
