,Route,Location,URL,Avg Stars,Your Stars,Route Type,Rating,Pitches,Length,Area Latitude,Area Longitude
0,Dreamscape,Sun Wall > Sand Rock > Alabama,https://www.mountainproject.com/route/105979968/dreamscape,3.8,-1,Sport,5.11c,1,75.0,34.180409999999995,-85.81555
1,Comfortably Numb,The Pinnacle > Sand Rock > Alabama,https://www.mountainproject.com/route/105905196/comfortably-numb,3.6,-1,"Trad, TR",5.9,1,120.0,34.17948,-85.81775
2,Misty,Sun Wall > Sand Rock > Alabama,https://www.mountainproject.com/route/105905421/misty,3.6,-1,Sport,5.10b/c,1,90.0,34.180409999999995,-85.81555
3,Oyster,Holiday Block > Sand Rock > Alabama,https://www.mountainproject.com/route/105926850/oyster,3.1,-1,Sport,5.10a,1,80.0,34.17961,-85.8179
4,Pigs in Zen (Tuesday's Gone),Holiday Block > Sand Rock > Alabama,https://www.mountainproject.com/route/105930746/pigs-in-zen-tuesdays-gone,3.0,-1,Sport,5.10d,1,70.0,34.17961,-85.8179
5,Cinco de Mayo,Holiday Block > Sand Rock > Alabama,https://www.mountainproject.com/route/106311736/cinco-de-mayo,2.9,-1,Sport,5.10c/d,1,40.0,34.17961,-85.8179
6,Knob Wall,Sun Wall > Sand Rock > Alabama,https://www.mountainproject.com/route/105927952/knob-wall,2.8,-1,Trad,5.6,1,80.0,34.180409999999995,-85.81555
7,That Eight (aka Kennel Club),Holiday Block > Sand Rock > Alabama,https://www.mountainproject.com/route/105915410/that-eight-aka-kennel-club,2.8,-1,Sport,5.8,1,60.0,34.17961,-85.8179
8,Too Pumped Chump,The Flintstone > Sand Rock > Alabama,https://www.mountainproject.com/route/105962664/too-pumped-chump,2.7,-1,Sport,5.10b,1,40.0,34.17889,-85.81983000000001
9,My Dog Has Fleas,Holiday Block > Sand Rock > Alabama,https://www.mountainproject.com/route/105915399/my-dog-has-fleas,2.5,-1,Sport,5.9-,1,60.0,34.17961,-85.8179
10,Rabies,Holiday Block > Sand Rock > Alabama,https://www.mountainproject.com/route/105930750/rabies,2.7,-1,Sport,5.11a,1,75.0,34.17961,-85.8179
11,Six Toes,Jaws Block/West Side Rock > Sand Rock > Alabama,https://www.mountainproject.com/route/105978873/six-toes,2.5,-1,Sport,5.10a,1,30.0,34.1799,-85.81751
12,Price is Right,The Hole > Sand Rock > Alabama,https://www.mountainproject.com/route/106311388/price-is-right,3.1,-1,Sport,5.11a PG13,1,35.0,34.18035,-85.81478
13,Captain Ron,New Wall (AKA Kurt Russell Block) > Sand Rock > Alabama,https://www.mountainproject.com/route/108009978/captain-ron,2.5,-1,Sport,5.8,1,35.0,34.180690000000006,-85.81316
14,Standard Route,The Pinnacle > Sand Rock > Alabama,https://www.mountainproject.com/route/105905391/standard-route,2.3,-1,Trad,5.6,1,80.0,34.17948,-85.81775
15,Thin in the Middle,Jaws Block/West Side Rock > Sand Rock > Alabama,https://www.mountainproject.com/route/106098693/thin-in-the-middle,2.6,-1,Sport,5.10c/d,1,30.0,34.1799,-85.81751
16,Heave Ho,Jaws Block/West Side Rock > Sand Rock > Alabama,https://www.mountainproject.com/route/106102019/heave-ho,2.8,-1,Sport,5.11a,1,30.0,34.1799,-85.81751
17,Walking the Dog,Holiday Block > Sand Rock > Alabama,https://www.mountainproject.com/route/106101126/walking-the-dog,2.5,-1,Trad,5.9-,1,60.0,34.17961,-85.8179
18,Jaws,Jaws Block/West Side Rock > Sand Rock > Alabama,https://www.mountainproject.com/route/105943764/jaws,3.2,-1,"Trad, TR",5.9+,1,27.0,34.1799,-85.81751
19,Never Believe,Holiday Block > Sand Rock > Alabama,https://www.mountainproject.com/route/106102075/never-believe,3.3,-1,Sport,5.11b,1,45.0,34.17961,-85.8179
20,Gravy Train,Holiday Block > Sand Rock > Alabama,https://www.mountainproject.com/route/105961944/gravy-train,3.3,-1,Trad,5.10a,1,75.0,34.17961,-85.8179
21,Popular Science (Golden Flake),Sun Wall > Sand Rock > Alabama,https://www.mountainproject.com/route/106098687/popular-science-golden-flake,3.0,-1,"Trad, TR",5.9+,1,60.0,34.180409999999995,-85.81555
22,Lichen This,Sun Wall > Sand Rock > Alabama,https://www.mountainproject.com/route/106105961/lichen-this,2.5,-1,Sport,5.9,1,40.0,34.180409999999995,-85.81555
23,White Gold,Sun Wall > Sand Rock > Alabama,https://www.mountainproject.com/route/105979251/white-gold,3.0,-1,Trad,5.9+,1,80.0,34.180409999999995,-85.81555
24,Big Trouble in Little China,New Wall (AKA Kurt Russell Block) > Sand Rock > Alabama,https://www.mountainproject.com/route/108060175/big-trouble-in-little-china,2.4,-1,Sport,5.10-,1,30.0,34.180690000000006,-85.81316
25,Eight In The Hole,The Hole > Sand Rock > Alabama,https://www.mountainproject.com/route/107057599/eight-in-the-hole,2.0,-1,Sport,5.8-,1,40.0,34.18035,-85.81478
26,Shrimp Dude,The Islands > Sand Rock > Alabama,https://www.mountainproject.com/route/107645399/shrimp-dude,2.9,-1,Sport,5.10a,1,60.0,34.1792,-85.81933000000001
27,Tarzan,Sun Wall > Sand Rock > Alabama,https://www.mountainproject.com/route/106938647/tarzan,2.2,-1,Sport,5.10-,1,40.0,34.180409999999995,-85.81555
28,Pump Handles,Holiday Block > Sand Rock > Alabama,https://www.mountainproject.com/route/105930757/pump-handles,2.6,-1,Trad,5.9,1,60.0,34.17961,-85.8179
29,Backdraft,New Wall (AKA Kurt Russell Block) > Sand Rock > Alabama,https://www.mountainproject.com/route/108419758/backdraft,2.2,-1,Sport,5.9,1,35.0,34.180690000000006,-85.81316
